Date,Classification,AvgPnL,TotalPnL,TotalVolume,WinRate,Sentiment score,RollingPnL
2025-03-30,Fear,-0.20517299999999997,-0.6155189999999999,4875.360000000001,0.0,32,230.9928909085714
2025-03-31,Fear,27.936874999999997,55.873749999999994,16545.69,0.5,34,178.78930462285714
2025-04-01,Fear,-2.103702,-6.3111060000000005,65740.71,0.0,34,137.7716597657143
2025-04-02,Fear,17.218051499999998,68.87220599999999,1202.28,1.0,44,158.7352920514286
2025-04-03,Fear,0.6615384000000002,3.3076920000000007,17300.01,0.2,25,155.5688577142857
2025-04-04,Fear,-1.7747306666666656,-5.3241919999999965,1930.28,0.6666666666666666,28,144.23364828571428
2025-04-05,Fear,-1.32613725,-5.304549,17527.85,0.0,30,15.785468857142856
2025-04-06,Fear,165.83340900000002,497.50022700000005,1661.5700000000002,0.3333333333333333,34,86.94486114285715
2025-04-07,Extreme Fear,-284.3887910625,-4550.220657,25023.68,0.0625,23,-571.0686255714285
2025-04-08,Extreme Fear,21.630215000789473,821.94817003,146298.12,0.07894736842105263,24,-452.745871852857
2025-04-09,Extreme Fear,46.65066206272728,1539.47184807,282690.79000000004,0.48484848484848486,18,-242.6602086999999
2025-04-10,Fear,85.24468598148148,4603.213043,1216699.36,0.6851851851851852,39,414.4691271571429
2025-04-11,Fear,-52.821592375,-422.572739,5978.83,0.25,25,354.8621918714286
2025-04-12,Fear,624.7421503093525,86839.158893,3513693.34,0.302158273381295,43,12761.214112157144
2025-04-13,Neutral,60.028518000000005,840.399252,466096.6,0.2857142857142857,45,12810.199687157145
2025-04-14,Fear,5.843904277777775,105.19027699999995,47497.100000000006,0.16666666666666666,31,13475.258392014288
2025-04-15,Fear,23.258115586956524,1069.873317,402833.44,0.6304347826086957,38,13510.676270152859
2025-04-16,Fear,73.87247321875,4727.838286,1897524.65,0.4375,29,13966.157189857144
2025-04-17,Fear,7.2426222,36.213111,3258.17,0.4,30,13313.728628142857
2025-04-18,Fear,22.042539861999998,551.06349655,261616.36,0.6,33,13452.819518935716
2025-04-19,Fear,146.82903774358974,5726.332472,1893764.47,0.358974358974359,32,1865.272887364286
2025-04-20,Fear,209.48646981416667,5027.67527554,313618.30000000005,0.6666666666666666,37,2463.4551764414286
2025-04-21,Fear,-78.21061591304348,-5396.5324980000005,1830804.32,0.3333333333333333,39,1677.494780012857
2025-04-22,Neutral,2.9361500333333335,88.084501,706352.22,0.4,47,1537.23923487
2025-04-23,Greed,-1482.6360809991493,-69683.89580696002,647254.74,0.5106382978723404,72,-9093.008492695717
2025-04-24,Greed,57.47175919047619,4827.627772,1489821.28,0.30952380952380953,63,-8408.520683981431
2025-04-25,Greed,53.217594035714285,2980.185266,665480.38,0.5178571428571429,60,-8061.503288345716
2025-04-26,Greed,-1.9826801176470588,-33.705562,189029.82,0.058823529411764705,65,-8884.36586463143
2025-04-28,Neutral,-40.265516695652174,-926.1068839999999,469287.95,0.6521739130434783,54,-9734.906173137146
2025-04-29,Greed,141.75236665894735,5386.58993304,1728653.43,0.47368421052631576,60,-8194.460111560003
2025-04-30,Greed,-5.345249830625,-85.52399729,368339.11000000004,0.0,56,-8219.26132560143
2025-05-01,Neutral,61.443081081538466,798.76005406,110140.88,0.6923076923076923,53,1849.6895116871437
